"year","county","area.mi","area.km","harv.tot"
2005,"ADAMS",855,1376.55,5012
2006,"ADAMS",855,1376.55,4926
2007,"ADAMS",855,1376.55,4581
2008,"ADAMS",855,1376.55,4511
2009,"ADAMS",855,1376.55,4615
2010,"ADAMS",855,1376.55,4327
2011,"ADAMS",855,1376.55,4363
2012,"ADAMS",855,1376.55,4607
2013,"ADAMS",855,1376.55,3482
2014,"ADAMS",855,1376.55,3500
2015,"ADAMS",855,1376.55,3762
2016,"ADAMS",855,1376.55,3758
2017,"ADAMS",855,1376.55,3661
2018,"ADAMS",855,1376.55,3947
2019,"ADAMS",855,1376.55,3875
2020,"ADAMS",855,1376.55,3953
2021,"ADAMS",855,1376.55,3572
2022,"ADAMS",855,1376.55,3763
2005,"ALEXANDER",236,379.96,751
2006,"ALEXANDER",236,379.96,849
2007,"ALEXANDER",236,379.96,784
2008,"ALEXANDER",236,379.96,828
2009,"ALEXANDER",236,379.96,896
2010,"ALEXANDER",236,379.96,780
2011,"ALEXANDER",236,379.96,795
2012,"ALEXANDER",236,379.96,708
2013,"ALEXANDER",236,379.96,795
2014,"ALEXANDER",236,379.96,649
2015,"ALEXANDER",236,379.96,801
2016,"ALEXANDER",236,379.96,628
2017,"ALEXANDER",236,379.96,732
2018,"ALEXANDER",236,379.96,729
2019,"ALEXANDER",236,379.96,733
2020,"ALEXANDER",236,379.96,692
2021,"ALEXANDER",236,379.96,577
2022,"ALEXANDER",236,379.96,659
2005,"BOND",380,611.8,1633
2006,"BOND",380,611.8,1641
2007,"BOND",380,611.8,1666
2008,"BOND",380,611.8,1482
2009,"BOND",380,611.8,1431
2010,"BOND",380,611.8,1294
2011,"BOND",380,611.8,1338
2012,"BOND",380,611.8,1287
2013,"BOND",380,611.8,1022
2014,"BOND",380,611.8,964
2015,"BOND",380,611.8,1053
2016,"BOND",380,611.8,949
2017,"BOND",380,611.8,1043
2018,"BOND",380,611.8,1160
2019,"BOND",380,611.8,1172
2020,"BOND",380,611.8,1201
2021,"BOND",380,611.8,1121
2022,"BOND",380,611.8,1281
2005,"BOONE",280,450.8,525
2006,"BOONE",280,450.8,435
2007,"BOONE",280,450.8,368
2008,"BOONE",280,450.8,329
2009,"BOONE",280,450.8,391
2010,"BOONE",280,450.8,297
2011,"BOONE",280,450.8,284
2012,"BOONE",280,450.8,289
2013,"BOONE",280,450.8,244
2014,"BOONE",280,450.8,297
2015,"BOONE",280,450.8,315
2016,"BOONE",280,450.8,279
2017,"BOONE",280,450.8,288
2018,"BOONE",280,450.8,297
2019,"BOONE",280,450.8,281
2020,"BOONE",280,450.8,362
2021,"BOONE",280,450.8,312
2022,"BOONE",280,450.8,323
2005,"BROWN",305,491.05,2950
2006,"BROWN",305,491.05,2910
2007,"BROWN",305,491.05,2915
2008,"BROWN",305,491.05,2851
2009,"BROWN",305,491.05,2867
2010,"BROWN",305,491.05,2661
2011,"BROWN",305,491.05,2644
2012,"BROWN",305,491.05,2889
2013,"BROWN",305,491.05,2074
2014,"BROWN",305,491.05,2074
2015,"BROWN",305,491.05,2260
2016,"BROWN",305,491.05,2136
2017,"BROWN",305,491.05,2196
2018,"BROWN",305,491.05,2324
2019,"BROWN",305,491.05,2118
2020,"BROWN",305,491.05,2180
2021,"BROWN",305,491.05,1977
2022,"BROWN",305,491.05,2195
2005,"BUREAU",869,1399.09,2756
2006,"BUREAU",869,1399.09,2479
2007,"BUREAU",869,1399.09,2873
2008,"BUREAU",869,1399.09,2782
2009,"BUREAU",869,1399.09,2749
2010,"BUREAU",869,1399.09,2624
2011,"BUREAU",869,1399.09,2356
2012,"BUREAU",869,1399.09,2501
2013,"BUREAU",869,1399.09,1889
2014,"BUREAU",869,1399.09,1738
2015,"BUREAU",869,1399.09,1824
2016,"BUREAU",869,1399.09,1729
2017,"BUREAU",869,1399.09,1732
2018,"BUREAU",869,1399.09,1864
2019,"BUREAU",869,1399.09,1758
2020,"BUREAU",869,1399.09,1909
2021,"BUREAU",869,1399.09,1665
2022,"BUREAU",869,1399.09,1799
2005,"CALHOUN",253,407.33,3042
2006,"CALHOUN",253,407.33,3255
2007,"CALHOUN",253,407.33,2938
2008,"CALHOUN",253,407.33,2781
2009,"CALHOUN",253,407.33,2969
2010,"CALHOUN",253,407.33,2474
2011,"CALHOUN",253,407.33,2460
2012,"CALHOUN",253,407.33,2191
2013,"CALHOUN",253,407.33,1808
2014,"CALHOUN",253,407.33,1538
2015,"CALHOUN",253,407.33,1783
2016,"CALHOUN",253,407.33,1527
2017,"CALHOUN",253,407.33,1585
2018,"CALHOUN",253,407.33,1710
2019,"CALHOUN",253,407.33,1838
2020,"CALHOUN",253,407.33,1849
2021,"CALHOUN",253,407.33,1514
2022,"CALHOUN",253,407.33,1574
2005,"CARROLL",445,716.45,1919
2006,"CARROLL",445,716.45,1879
2007,"CARROLL",445,716.45,1932
2008,"CARROLL",445,716.45,1919
2009,"CARROLL",445,716.45,1975
2010,"CARROLL",445,716.45,1995
2011,"CARROLL",445,716.45,1691
2012,"CARROLL",445,716.45,2047
2013,"CARROLL",445,716.45,1604
2014,"CARROLL",445,716.45,1474
2015,"CARROLL",445,716.45,1531
2016,"CARROLL",445,716.45,1446
2017,"CARROLL",445,716.45,1383
2018,"CARROLL",445,716.45,1375
2019,"CARROLL",445,716.45,1350
2020,"CARROLL",445,716.45,1304
2021,"CARROLL",445,716.45,1056
2022,"CARROLL",445,716.45,1160
2005,"CASS",375,603.75,1774
2006,"CASS",375,603.75,1744
