Year,HarvCounty,SeasonGroup,Sex,AssignedAge,Total
2022,ADAMS,ARCHERY,F,A,523
2022,ADAMS,ARCHERY,F,F,69
2022,ADAMS,ARCHERY,M,A,521
2022,ADAMS,ARCHERY,M,F,91
2022,ADAMS,ARCHERY,M,Y,202
2022,ADAMS,FIREARM,F,A,852
2022,ADAMS,FIREARM,F,F,156
2022,ADAMS,FIREARM,M,A,654
2022,ADAMS,FIREARM,M,F,182
2022,ADAMS,FIREARM,M,Y,316
2022,ADAMS,MUZZLE,F,A,60
2022,ADAMS,MUZZLE,F,F,8
2022,ADAMS,MUZZLE,M,A,27
2022,ADAMS,MUZZLE,M,F,6
2022,ADAMS,MUZZLE,M,Y,8
2022,ADAMS,YOUTH,F,A,30
2022,ADAMS,YOUTH,F,F,6
2022,ADAMS,YOUTH,M,A,22
2022,ADAMS,YOUTH,M,F,7
2022,ADAMS,YOUTH,M,Y,23
2022,ALEXANDER,ARCHERY,F,A,94
2022,ALEXANDER,ARCHERY,F,F,10
2022,ALEXANDER,ARCHERY,M,A,75
2022,ALEXANDER,ARCHERY,M,F,16
2022,ALEXANDER,ARCHERY,M,Y,49
2022,ALEXANDER,FIREARM,F,A,95
2022,ALEXANDER,FIREARM,F,F,14
2022,ALEXANDER,FIREARM,M,A,136
2022,ALEXANDER,FIREARM,M,F,32
2022,ALEXANDER,FIREARM,M,Y,102
2022,ALEXANDER,MUZZLE,F,A,11
2022,ALEXANDER,MUZZLE,F,F,1
2022,ALEXANDER,MUZZLE,M,A,7
2022,ALEXANDER,MUZZLE,M,Y,4
2022,ALEXANDER,YOUTH,F,A,7
2022,ALEXANDER,YOUTH,M,A,5
2022,ALEXANDER,YOUTH,M,Y,1
2022,BOND,ARCHERY,F,A,195
2022,BOND,ARCHERY,F,F,29
2022,BOND,ARCHERY,M,A,111
2022,BOND,ARCHERY,M,F,38
2022,BOND,ARCHERY,M,Y,119
2022,BOND,FIREARM,F,A,284
2022,BOND,FIREARM,F,F,51
2022,BOND,FIREARM,M,A,176
2022,BOND,FIREARM,M,F,74
2022,BOND,FIREARM,M,Y,169
2022,BOND,MUZZLE,F,A,6
2022,BOND,MUZZLE,M,A,3
2022,BOND,MUZZLE,M,F,2
2022,BOND,MUZZLE,M,Y,3
2022,BOND,YOUTH,F,A,7
2022,BOND,YOUTH,F,F,2
2022,BOND,YOUTH,M,A,3
2022,BOND,YOUTH,M,F,6
2022,BOND,YOUTH,M,Y,3
2022,BOONE,ARCHERY,F,A,47
2022,BOONE,ARCHERY,F,F,5
2022,BOONE,ARCHERY,M,A,59
2022,BOONE,ARCHERY,M,F,10
2022,BOONE,ARCHERY,M,Y,56
2022,BOONE,CWD,F,A,11
2022,BOONE,CWD,F,F,1
2022,BOONE,CWD,M,A,7
2022,BOONE,CWD,M,F,1
2022,BOONE,CWD,M,Y,8
2022,BOONE,FIREARM,F,A,26
2022,BOONE,FIREARM,F,F,8
2022,BOONE,FIREARM,M,A,38
2022,BOONE,FIREARM,M,F,16
2022,BOONE,FIREARM,M,Y,18
2022,BOONE,MUZZLE,F,A,2
2022,BOONE,MUZZLE,M,A,2
2022,BOONE,MUZZLE,M,Y,3
2022,BOONE,YOUTH,F,A,2
2022,BOONE,YOUTH,M,A,2
2022,BOONE,YOUTH,M,Y,1
2022,BROWN,ARCHERY,F,A,304
2022,BROWN,ARCHERY,F,F,40
2022,BROWN,ARCHERY,M,A,347
2022,BROWN,ARCHERY,M,F,50
2022,BROWN,ARCHERY,M,Y,86
2022,BROWN,FIREARM,F,A,363
2022,BROWN,FIREARM,F,F,62
2022,BROWN,FIREARM,M,A,360
2022,BROWN,FIREARM,M,F,78
2022,BROWN,FIREARM,M,Y,132
2022,BROWN,LATEWINTER,F,A,185
2022,BROWN,LATEWINTER,F,F,41
2022,BROWN,LATEWINTER,M,A,2
2022,BROWN,LATEWINTER,M,F,34
2022,BROWN,LATEWINTER,M,Y,4
2022,BROWN,MUZZLE,F,A,22
2022,BROWN,MUZZLE,F,F,2
2022,BROWN,MUZZLE,M,A,18
2022,BROWN,MUZZLE,M,F,4
2022,BROWN,MUZZLE,M,Y,8
2022,BROWN,YOUTH,F,A,16
2022,BROWN,YOUTH,F,F,1
2022,BROWN,YOUTH,M,A,19
2022,BROWN,YOUTH,M,F,5
2022,BROWN,YOUTH,M,Y,12
2022,BUREAU,ARCHERY,F,A,322
2022,BUREAU,ARCHERY,F,F,63
2022,BUREAU,ARCHERY,M,A,240
2022,BUREAU,ARCHERY,M,F,46
2022,BUREAU,ARCHERY,M,Y,135
2022,BUREAU,FIREARM,F,A,331
2022,BUREAU,FIREARM,F,F,44
2022,BUREAU,FIREARM,M,A,284
2022,BUREAU,FIREARM,M,F,81
2022,BUREAU,FIREARM,M,Y,170
2022,BUREAU,MUZZLE,F,A,26
2022,BUREAU,MUZZLE,F,F,3
2022,BUREAU,MUZZLE,M,A,15
2022,BUREAU,MUZZLE,M,F,4
2022,BUREAU,MUZZLE,M,Y,3
2022,BUREAU,YOUTH,F,A,12
2022,BUREAU,YOUTH,F,F,1
2022,BUREAU,YOUTH,M,A,7
2022,BUREAU,YOUTH,M,F,5
2022,BUREAU,YOUTH,M,Y,7
2022,CALHOUN,ARCHERY,F,A,306
2022,CALHOUN,ARCHERY,F,F,32
2022,CALHOUN,ARCHERY,M,A,270
2022,CALHOUN,ARCHERY,M,F,50
2022,CALHOUN,ARCHERY,M,Y,89
2022,CALHOUN,FIREARM,F,A,305
2022,CALHOUN,FIREARM,F,F,56
2022,CALHOUN,FIREARM,M,A,238
2022,CALHOUN,FIREARM,M,F,45
2022,CALHOUN,FIREARM,M,Y,84
2022,CALHOUN,MUZZLE,F,A,32
2022,CALHOUN,MUZZLE,F,F,1
2022,CALHOUN,MUZZLE,M,A,10
2022,CALHOUN,MUZZLE,M,F,6
2022,CALHOUN,MUZZLE,M,Y,3
2022,CALHOUN,YOUTH,F,A,16
2022,CALHOUN,YOUTH,F,F,2
2022,CALHOUN,YOUTH,M,A,12
2022,CALHOUN,YOUTH,M,F,2
2022,CALHOUN,YOUTH,M,Y,15
2022,CARROLL,ARCHERY,F,A,195
2022,CARROLL,ARCHERY,F,F,36
2022,CARROLL,ARCHERY,M,A,134
2022,CARROLL,ARCHERY,M,F,45
2022,CARROLL,ARCHERY,M,Y,102
2022,CARROLL,CWD,F,A,66
2022,CARROLL,CWD,F,F,12
2022,CARROLL,CWD,M,A,13
2022,CARROLL,CWD,M,F,15
2022,CARROLL,CWD,M,Y,14
2022,CARROLL,FIREARM,F,A,161
2022,CARROLL,FIREARM,F,F,36
2022,CARROLL,FIREARM,M,A,168
2022,CARROLL,FIREARM,M,F,46
2022,CARROLL,FIREARM,M,Y,81
2022,CARROLL,MUZZLE,F,A,9
2022,CARROLL,MUZZLE,F,F,3
2022,CARROLL,MUZZLE,M,A,7
2022,CARROLL,MUZZLE,M,F,2
2022,CARROLL,MUZZLE,M,Y,3
2022,CARROLL,YOUTH,F,A,7
2022,CARROLL,YOUTH,F,F,3
2022,CARROLL,YOUTH,M,A,1
2022,CARROLL,YOUTH,M,F,1
2022,CASS,ARCHERY,F,A,279
2022,CASS,ARCHERY,F,F,40
2022,CASS,ARCHERY,M,A,224
2022,CASS,ARCHERY,M,F,45
2022,CASS,ARCHERY,M,Y,93
2022,CASS,FIREARM,F,A,280
2022,CASS,FIREARM,F,F,41
2022,CASS,FIREARM,M,A,205
2022,CASS,FIREARM,M,F,53
2022,CASS,FIREARM,M,Y,100
2022,CASS,MUZZLE,F,A,16
2022,CASS,MUZZLE,F,F,4
2022,CASS,MUZZLE,M,A,5
2022,CASS,YOUTH,F,A,12
2022,CASS,YOUTH,F,F,1
2022,CASS,YOUTH,M,A,2
2022,CASS,YOUTH,M,F,2
2022,CASS,YOUTH,M,Y,4
2022,CHAMPAIGN,ARCHERY,F,A,114
2022,CHAMPAIGN,ARCHERY,F,F,24
2022,CHAMPAIGN,ARCHERY,M,A,124
2022,CHAMPAIGN,ARCHERY,M,F,35
2022,CHAMPAIGN,ARCHERY,M,Y,80
2022,CHAMPAIGN,FIREARM,F,A,58
2022,CHAMPAIGN,FIREARM,F,F,8
2022,CHAMPAIGN,FIREARM,M,A,93
2022,CHAMPAIGN,FIREARM,M,F,14
2022,CHAMPAIGN,FIREARM,M,Y,44
2022,CHAMPAIGN,MUZZLE,F,A,8
2022,CHAMPAIGN,MUZZLE,F,F,3
2022,CHAMPAIGN,MUZZLE,M,A,6
2022,CHAMPAIGN,MUZZLE,M,F,3
2022,CHAMPAIGN,MUZZLE,M,Y,1
2022,CHAMPAIGN,YOUTH,F,A,3
2022,CHAMPAIGN,YOUTH,M,A,3
2022,CHAMPAIGN,YOUTH,M,Y,2
2022,CHRISTIAN,ARCHERY,F,A,215
2022,CHRISTIAN,ARCHERY,F,F,33
2022,CHRISTIAN,ARCHERY,M,A,149
2022,CHRISTIAN,ARCHERY,M,F,47
2022,CHRISTIAN,ARCHERY,M,Y,93
2022,CHRISTIAN,FIREARM,F,A,201
2022,CHRISTIAN,FIREARM,F,F,31
2022,CHRISTIAN,FIREARM,M,A,181
2022,CHRISTIAN,FIREARM,M,F,44
2022,CHRISTIAN,FIREARM,M,Y,106
2022,CHRISTIAN,MUZZLE,F,A,12
2022,CHRISTIAN,MUZZLE,M,A,4
2022,CHRISTIAN,MUZZLE,M,F,1
2022,CHRISTIAN,MUZZLE,M,Y,2
2022,CHRISTIAN,YOUTH,F,A,11
2022,CHRISTIAN,YOUTH,F,F,1
2022,CHRISTIAN,YOUTH,M,A,5
2022,CHRISTIAN,YOUTH,M,F,2
2022,CHRISTIAN,YOUTH,M,Y,9
2022,CLARK,ARCHERY,F,A,337
2022,CLARK,ARCHERY,F,F,48
2022,CLARK,ARCHERY,M,A,347
2022,CLARK,ARCHERY,M,F,58
2022,CLARK,ARCHERY,M,Y,108
2022,CLARK,FIREARM,F,A,370
2022,CLARK,FIREARM,F,F,95
2022,CLARK,FIREARM,M,A,371
2022,CLARK,FIREARM,M,F,87
2022,CLARK,FIREARM,M,Y,161
2022,CLARK,MUZZLE,F,A,26
2022,CLARK,MUZZLE,F,F,4
2022,CLARK,MUZZLE,M,A,16
2022,CLARK,MUZZLE,M,F,2
2022,CLARK,MUZZLE,M,Y,4
2022,CLARK,YOUTH,F,A,13
2022,CLARK,YOUTH,F,F,1
2022,CLARK,YOUTH,M,A,13
2022,CLARK,YOUTH,M,F,4
2022,CLARK,YOUTH,M,Y,13
2022,CLAY,ARCHERY,F,A,246
2022,CLAY,ARCHERY,F,F,65
2022,CLAY,ARCHERY,M,A,189
2022,CLAY,ARCHERY,M,F,62
2022,CLAY,ARCHERY,M,Y,89
2022,CLAY,FIREARM,F,A,418
2022,CLAY,FIREARM,F,F,94
2022,CLAY,FIREARM,M,A,360
2022,CLAY,FIREARM,M,F,145
2022,CLAY,FIREARM,M,Y,221
2022,CLAY,LATEWINTER,F,A,126
2022,CLAY,LATEWINTER,F,F,38
2022,CLAY,LATEWINTER,M,F,33
2022,CLAY,LATEWINTER,M,Y,3
2022,CLAY,MUZZLE,F,A,22
2022,CLAY,MUZZLE,F,F,4
2022,CLAY,MUZZLE,M,A,11
2022,CLAY,MUZZLE,M,F,1
2022,CLAY,MUZZLE,M,Y,4
2022,CLAY,YOUTH,F,A,33
2022,CLAY,YOUTH,F,F,3
2022,CLAY,YOUTH,M,A,13
2022,CLAY,YOUTH,M,F,8
2022,CLAY,YOUTH,M,Y,17
2022,CLINTON,ARCHERY,F,A,279
2022,CLINTON,ARCHERY,F,F,46
2022,CLINTON,ARCHERY,M,A,162
2022,CLINTON,ARCHERY,M,F,45
2022,CLINTON,ARCHERY,M,Y,145
2022,CLINTON,FIREARM,F,A,267
2022,CLINTON,FIREARM,F,F,52
2022,CLINTON,FIREARM,M,A,222
2022,CLINTON,FIREARM,M,F,65
2022,CLINTON,FIREARM,M,Y,200
2022,CLINTON,MUZZLE,F,A,10
2022,CLINTON,MUZZLE,M,A,2
2022,CLINTON,MUZZLE,M,F,3
2022,CLINTON,MUZZLE,M,Y,5
2022,CLINTON,YOUTH,F,A,18
2022,CLINTON,YOUTH,F,F,4
2022,CLINTON,YOUTH,M,A,2
2022,CLINTON,YOUTH,M,F,3
2022,CLINTON,YOUTH,M,Y,14
2022,COLES,ARCHERY,F,A,284
2022,COLES,ARCHERY,F,F,44
2022,COLES,ARCHERY,M,A,234
2022,COLES,ARCHERY,M,F,64
2022,COLES,ARCHERY,M,Y,123
2022,COLES,FIREARM,F,A,231
2022,COLES,FIREARM,F,F,39
2022,COLES,FIREARM,M,A,233
2022,COLES,FIREARM,M,F,74
2022,COLES,FIREARM,M,Y,119
2022,COLES,LATEWINTER,F,A,39
2022,COLES,LATEWINTER,F,F,3
2022,COLES,LATEWINTER,M,A,2
2022,COLES,LATEWINTER,M,F,7
2022,COLES,MUZZLE,F,A,13
2022,COLES,MUZZLE,F,F,5
2022,COLES,MUZZLE,M,A,7
2022,COLES,MUZZLE,M,Y,4
2022,COLES,YOUTH,F,A,8
2022,COLES,YOUTH,F,F,1
2022,COLES,YOUTH,M,A,4
2022,COLES,YOUTH,M,F,1
2022,COLES,YOUTH,M,Y,2
2022,COOK,ARCHERY,F,A,45
2022,COOK,ARCHERY,F,F,12
2022,COOK,ARCHERY,M,A,56
2022,COOK,ARCHERY,M,F,8
2022,COOK,ARCHERY,M,Y,35
2022,CRAWFORD,ARCHERY,F,A,354
2022,CRAWFORD,ARCHERY,F,F,62
2022,CRAWFORD,ARCHERY,M,A,256
2022,CRAWFORD,ARCHERY,M,F,66
2022,CRAWFORD,ARCHERY,M,Y,112
2022,CRAWFORD,FIREARM,F,A,336
2022,CRAWFORD,FIREARM,F,F,57
2022,CRAWFORD,FIREARM,M,A,326
2022,CRAWFORD,FIREARM,M,F,78
2022,CRAWFORD,FIREARM,M,Y,143
2022,CRAWFORD,LATEWINTER,F,A,83
2022,CRAWFORD,LATEWINTER,F,F,8
2022,CRAWFORD,LATEWINTER,M,A,2
2022,CRAWFORD,LATEWINTER,M,F,26
2022,CRAWFORD,LATEWINTER,M,Y,1
2022,CRAWFORD,MUZZLE,F,A,12
2022,CRAWFORD,MUZZLE,F,F,3
2022,CRAWFORD,MUZZLE,M,A,3
2022,CRAWFORD,MUZZLE,M,F,2
