DATE,HARVESTCO,AGE,SEX,TESTSTATUS,SOURCE,COLLECTIONMETHOD,GROUP,TRS
08172022,UNION,2,M,NOT DETECTED,ROADKILL23,ROADKILL,ROADKILL,311S 1W 5
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 7S 5W33
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 7S 5W33
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 7S 5W33
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 7S 5W33
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,1,M,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 5W 7
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 6W 9
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 7W28
08172022,RANDOLPH,1,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 7W28
08172022,RANDOLPH,1,M,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 7W28
08172022,RANDOLPH,2,F,NOT DETECTED,DRP23,OTHERSHARPSHOOT,SHARPSHOOTING,3 5S 7W28
